H1,H2,H3,H4,H5,ItemCode,WeekStartDate,Sales,Stock,Price,FirstPrice,Discount,DiscountOnPrice,PrevDiscountRate,PrevSales
AYAKKABI,AKTIFCOCUK,ATHLETIC,AYAKKABI,KOSU-YURUYUS,000000000101178887,2022-11-24,9,199,179.9900,249.99,0.273884,0.2753736236405977979,0.0000000000000000000,7
AYAKKABI,AKTIFCOCUK,ATHLETIC,AYAKKABI,KOSU-YURUYUS,000000000101178887,2023-02-23,11,122,149.9900,249.99,0.412230,0.4000160006400256011,0.2800112004480179208,1
AYAKKABI,COCUK,NULL,AYAKKABI,BASIC SNEAKER,000000000101191458,2022-12-08,67,1305,99.9900,129.99,0.217606,0.2307869836141241634,0.0000000000000000000,73
AYAKKABI,COCUK,NULL,AYAKKABI,ATHLETIC,000000000101191462,2022-11-24,7,197,149.9900,199.99,0.293443,0.2451818243086067347,0.0000000000000000000,-1
AYAKKABI,COCUK,NULL,AYAKKABI,ATHLETIC,000000000101191462,2022-12-15,14,170,119.9900,199.99,0.420003,0.4000200010000500026,0.2500125006250312516,6
AYAKKABI,COCUK,NULL,AYAKKABI,ATHLETIC,000000000101191463,2022-12-08,95,1912,149.9900,199.99,0.257172,0.2500125006250312516,0.0000000000000000000,49
AYAKKABI,COCUK,NULL,TERLIK,PANDUF,000000000101191465,2022-12-15,181,2654,139.9900,169.99,0.175886,0.1764809694687922819,0.0000000000000000000,139
AYAKKABI,COCUK,NULL,CIZME,YAGMUR CIZMESI,000000000101191480,2023-01-19,52,1153,169.9900,249.99,0.378571,0.3200128005120204809,0.0000000000000000000,35
AYAKKABI,COCUK,NULL,CIZME,YAGMUR CIZMESI,000000000101191481,2022-12-15,72,761,189.9900,249.99,0.265249,0.2400096003840153607,0.0000000000000000000,100
AYAKKABI,COCUK,NULL,TERLIK,PANDUF,000000000101191483,2022-11-24,158,2958,129.9900,169.99,0.236132,0.2303824777416574377,0.0000000000000000000,115
AYAKKABI,COCUK,NULL,TERLIK,PANDUF,000000000101191483,2022-12-15,158,2617,99.9900,169.99,0.406996,0.4117889287605153245,0.2353079592917230426,115
AYAKKABI,COCUK,NULL,TERLIK,EV ICI TERLIK,000000000101191509,2022-11-24,35,750,129.9900,169.99,0.230134,0.2303824777416574377,0.0000000000000000000,16
AYAKKABI,COCUK,NULL,TERLIK,EV ICI TERLIK,000000000101191509,2022-12-08,45,1028,99.9900,169.99,0.376349,0.4117889287605153245,0.2353079592917230426,24
AYAKKABI,AKTIFCOCUK,ATHLETIC,AYAKKABI,KOSU-YURUYUS,000000000101196408,2022-11-10,76,1567,199.9900,289.99,0.300507,0.3103555295010172765,0.0000000000000000000,101
AYAKKABI,AKTIFCOCUK,ATHLETIC,AYAKKABI,KOSU-YURUYUS,000000000101196409,2022-11-10,105,1958,199.9900,289.99,0.327135,0.3103555295010172765,0.0000000000000000000,99
AYAKKABI,AKTIFCOCUK,OUTDOOR,BOT,OUTDOOR HI,000000000101196410,2023-01-19,27,416,199.9900,359.99,0.455948,0.4444567904664018445,0.2451761945078184539,27
AYAKKABI,AKTIFCOCUK,OUTDOOR,BOT,OUTDOOR HI,000000000101196411,2022-12-08,28,652,299.9900,349.99,0.133516,0.1373402594111384549,0.0000000000000000000,17
AYAKKABI,AKTIFCOCUK,OUTDOOR,BOT,OUTDOOR HI,000000000101196411,2023-01-05,29,636,199.9900,349.99,0.446868,0.4285836738192519787,0.1373402594111384549,8
AYAKKABI,AKTIFCOCUK,ATHLETIC,AYAKKABI,KOSU-YURUYUS,000000000101196416,2023-03-23,23,538,119.9900,179.99,0.329673,0.3333518528807155954,0.0000000000000000000,11
AYAKKABI,AKTIFCOCUK,ATHLETIC,AYAKKABI,KOSU-YURUYUS,000000000101196417,2022-11-24,112,3152,129.9900,179.99,0.271602,0.2777932107339296628,0.0000000000000000000,40
AYAKKABI,AKTIFCOCUK,ATHLETIC,AYAKKABI,KOSU-YURUYUS,000000000101196418,2022-11-10,105,1432,179.9900,229.99,0.219788,0.2174007565546328102,0.0000000000000000000,63
AYAKKABI,COCUK,NULL,AYAKKABI,ATHLETIC,000000000101196430,2023-03-23,23,430,99.9900,209.99,0.518611,0.5238344683080146674,0.2857278918043716368,19
AYAKKABI,ERKEK,DRESS,AYAKKABI,INFORMAL BAGCIKLI,000000000101186868,2022-11-10,86,1613,239.9900,279.99,0.159294,0.1373410851629794232,0.0000000000000000000,116
AYAKKABI,ERKEK,DRESS,AYAKKABI,FORMAL BAGCIKLI,000000000101186873,2022-11-10,45,882,239.9900,279.99,0.190620,0.1373410851629794232,0.0000000000000000000,54
AYAKKABI,ERKEK,DRESS,AYAKKABI,FORMAL BAGCIKLI,000000000101186874,2022-11-10,35,861,239.9900,279.99,0.139389,0.1373410851629794232,0.0000000000000000000,49
AYAKKABI,ERKEK,CASUAL,BOT,BASIC GUNLUK BOT,000000000101186891,2023-01-19,58,2138,319.9900,359.99,0.109744,0.1111141976166004612,0.0000000000000000000,68
AYAKKABI,ERKEK,DRESS,BOT,INFORMAL BOT,000000000101186894,2023-02-02,251,1731,299.9900,359.99,0.172093,0.1666712964249006917,0.0000000000000000000,404
AYAKKABI,ERKEK,DRESS,BOT,INFORMAL BOT,000000000101186895,2022-12-08,107,5030,319.9900,359.99,0.114947,0.1053887970318016081,0.0000000000000000000,36
AYAKKABI,ERKEK,DRESS,BOT,INFORMAL BOT,000000000101186895,2023-01-05,202,4962,259.9900,359.99,0.270829,0.2777854940415011529,0.1053887970318016081,99
AYAKKABI,ERKEK,CASUAL,AYAKKABI,BASIC GUNLUK AYAKKABI,000000000101186902,2022-12-15,57,756,189.9900,279.99,0.440566,0.3214400514304082289,0.0000000000000000000,25
AYAKKABI,ERKEK,CASUAL,AYAKKABI,BASIC GUNLUK AYAKKABI,000000000101186903,2022-12-08,163,1188,189.9900,279.99,0.336514,0.3214400514304082289,0.0000000000000000000,89
AYAKKABI,ERKEK,DRESS,AYAKKABI,INFORMAL BAGCIKLI,000000000101183517,2022-12-08,3,30,349.9900,529.99,0.145459,0.3396290496047095229,0.2214364996222242094,4
AYAKKABI,ERKEK,DRESS,AYAKKABI,FORMAL MASKARETLI,000000000101183520,2022-11-10,207,1213,399.9900,509.99,0.208021,0.2106386143973837510,0.0000000000000000000,125
AYAKKABI,ERKEK,DRESS,AYAKKABI,FORMAL MASKARETLI,000000000101183520,2022-11-24,138,844,399.9900,509.99,0.211362,0.2106386143973837510,0.0000000000000000000,175
AYAKKABI,ERKEK,DRESS,AYAKKABI,INFORMAL BAGCIKLI,000000000101183522,2022-11-10,102,1928,389.9900,519.99,0.231575,0.2451738202323288826,0.0000000000000000000,58
AYAKKABI,ERKEK,DRESS,AYAKKABI,INFORMAL BAGCIKLI,000000000101183524,2022-11-10,58,2535,369.9900,519.99,0.274039,0.2838840128196445250,0.0000000000000000000,24
AYAKKABI,ERKEK,DRESS,AYAKKABI,INFORMAL BAGCIKLI,000000000101183524,2022-12-08,77,2461,319.9900,519.99,0.390381,0.3846227812073309103,0.2838840128196445250,43
AYAKKABI,ERKEK,DRESS,AYAKKABI,FORMAL MASKARETLI,000000000101183530,2022-11-10,42,668,229.9900,299.99,0.253685,0.2284029032851819699,0.0000000000000000000,53
AYAKKABI,ERKEK,DRESS,AYAKKABI,FORMAL MASKARETLI,000000000101183530,2022-12-08,27,533,189.9900,299.99,0.463482,0.3666788892963098770,0.2284029032851819699,20
AYAKKABI,ERKEK,DRESS,AYAKKABI,FORMAL MASKARETLI,000000000101183532,2022-11-10,66,1070,449.9900,529.99,0.150835,0.1454773141740984449,0.0000000000000000000,71
AYAKKABI,ERKEK,DRESS,AYAKKABI,FORMAL MASKARETLI,000000000101183532,2022-12-08,85,804,349.9900,529.99,0.336788,0.3396290496047095229,0.1454773141740984449,42
AYAKKABI,ERKEK,DRESS,AYAKKABI,FORMAL MASKARETLI,000000000101183533,2022-11-10,39,836,459.9900,529.99,0.126790,0.1264874152670641038,0.0000000000000000000,57
AYAKKABI,ERKEK,DRESS,AYAKKABI,FORMAL MASKARETLI,000000000101183533,2022-11-24,57,888,399.9900,529.99,0.237785,0.2404263985292585505,0.1264874152670641038,52
AYAKKABI,ERKEK,DRESS,AYAKKABI,FORMAL MASKARETLI,000000000101183533,2022-12-15,51,723,339.9900,529.99,0.389234,0.3584973301383044964,0.2404263985292585505,53
AYAKKABI,ERKEK,DRESS,AYAKKABI,INFORMAL BAGCIKLI,000000000101183534,2022-11-10,72,1056,309.9900,429.99,0.290689,0.2744325702215521696,0.0000000000000000000,40
AYAKKABI,KADIN,COMFORT,AYAKKABI,LOAFER,000000000101187059,2022-11-10,117,2177,239.9900,299.99,0.200054,0.1948535965691610011,0.0000000000000000000,78
AYAKKABI,KADIN,COMFORT,AYAKKABI,LOAFER,000000000101187059,2022-12-15,100,1697,199.9900,299.99,0.357117,0.3333444448148271610,0.1948535965691610011,80
AYAKKABI,KADIN,COMFORT,AYAKKABI,GELENEKSEL COMFORT DOLGU,000000000101187063,2022-11-10,22,1880,209.9900,279.99,0.304041,0.2451780110159213761,0.0000000000000000000,17
AYAKKABI,KADIN,COMFORT,AYAKKABI,GELENEKSEL COMFORT DOLGU,000000000101187063,2022-12-01,37,1775,179.9900,279.99,0.342033,0.3530149368688633290,0.2451780110159213761,36
AYAKKABI,KADIN,COMFORT,AYAKKABI,GELENEKSEL COMFORT DOLGU,000000000101187063,2022-12-15,47,1691,149.9900,279.99,0.462698,0.4643022965105896640,0.3530149368688633290,34
AYAKKABI,KADIN,COMFORT,AYAKKABI,GELENEKSEL COMFORT DOLGU,000000000101187065,2022-11-10,59,1072,229.9900,279.99,0.176134,0.1732868565181675744,0.0000000000000000000,58
AYAKKABI,KADIN,COMFORT,AYAKKABI,GELENEKSEL COMFORT DOLGU,000000000101187065,2022-12-15,56,861,189.9900,279.99,0.325412,0.3214400514304082289,0.0000000000000000000,38
AYAKKABI,KADIN,COMFORT,AYAKKABI,GELENEKSEL COMFORT DOLGU,000000000101187071,2022-12-15,76,1126,229.9900,279.99,0.175457,0.1785778063502267939,0.0000000000000000000,68
AYAKKABI,KADIN,COMFORT,AYAKKABI,GELENEKSEL COMFORT DOLGU,000000000101187072,2022-12-15,23,268,229.9900,279.99,0.173108,0.1785778063502267939,0.0000000000000000000,28
AYAKKABI,KADIN,COMFORT,AYAKKABI,GELENEKSEL COMFORT DOLGU,000000000101187073,2022-12-15,81,1063,229.9900,269.99,0.155950,0.1481536353198266603,0.0000000000000000000,60
AYAKKABI,KADIN,COMFORT,AYAKKABI,GELENEKSEL COMFORT DOLGU,000000000101187074,2022-11-10,82,2279,199.9900,269.99,0.241067,0.2544977511244377812,0.0000000000000000000,43
AYAKKABI,KADIN,COMFORT,AYAKKABI,GELENEKSEL COMFORT DOLGU,000000000101187074,2022-12-15,98,1923,169.9900,269.99,0.375203,0.3703840882995666507,0.2544977511244377812,68
AYAKKABI,KADIN,COMFORT,AYAKKABI,LOAFER,000000000101187088,2022-12-01,5,242,269.9900,329.99,0.132385,0.1765537690865467597,0.0000000000000000000,4
AYAKKABI,KADIN,COMFORT,AYAKKABI,LOAFER,000000000101187088,2022-12-15,22,217,229.9900,329.99,0.350502,0.3030394860450316677,0.1765537690865467597,10
AYAKKABI,KADIN,CASUAL,BOT,MILITARY BOT,000000000101194460,2023-01-26,52,684,399.9900,499.99,0.235520,0.2000040000800016001,0.0000000000000000000,79
AYAKKABI,COCUK,NULL,CIZME,YAGMUR CIZMESI,000000000101194461,2023-01-26,61,595,179.9900,249.99,0.300044,0.2800112004480179208,0.0000000000000000000,133
AYAKKABI,COCUK,NULL,TERLIK,PANDUF,000000000101194462,2022-11-10,104,2453,99.9900,149.99,0.322907,0.3290617925252987881,0.0000000000000000000,52
AYAKKABI,COCUK,NULL,TERLIK,PANDUF,000000000101194462,2022-11-24,119,2239,79.9900,149.99,0.485169,0.4666977798519901327,0.3290617925252987881,81
AYAKKABI,COCUK,NULL,TERLIK,PANDUF,000000000101194463,2022-11-10,27,1235,99.9900,149.99,0.313696,0.3290617925252987881,0.0000000000000000000,34
AYAKKABI,COCUK,NULL,TERLIK,PANDUF,000000000101194463,2022-11-24,47,1173,79.9900,149.99,0.442301,0.4666977798519901327,0.3290617925252987881,21
AYAKKABI,COCUK,NULL,TERLIK,PANDUF,000000000101194573,2023-01-05,13,154,129.9900,159.99,0.220269,0.1875117194824676543,0.0000000000000000000,6
AYAKKABI,KADIN,COMFORT,AYAKKABI,GELENEKSEL COMFORT OKCELI,000000000101187372,2022-11-24,16,430,769.0000,1099.00,0.271819,0.2957659136764647704,0.1950301657633421688,11
AYAKKABI,KADIN,COMFORT,AYAKKABI,GELENEKSEL COMFORT OKCELI,000000000101187372,2022-12-15,29,384,629.0000,1099.00,0.344573,0.4276615104640582348,0.2957659136764647704,17
AYAKKABI,COCUK,NULL,BOT,SNEAKER HI,000000000101196942,2022-12-08,35,426,199.9900,339.99,0.416498,0.4117768169652048590,0.2647136680490602665,13
AYAKKABI,COCUK,NULL,BOT,SNEAKER HI,000000000101196943,2022-12-01,25,453,269.9900,339.99,0.247804,0.2007734882227993918,0.0000000000000000000,21
AYAKKABI,COCUK,NULL,BOT,SNEAKER HI,000000000101196943,2022-12-15,39,410,199.9900,339.99,0.422569,0.4117768169652048590,0.2007734882227993918,8
AYAKKABI,COCUK,NULL,AYAKKABI,BASIC SNEAKER,000000000101196944,2022-11-10,10,720,259.9900,329.99,0.238120,0.2070527170125049903,0.0000000000000000000,23
AYAKKABI,COCUK,NULL,AYAKKABI,BASIC SNEAKER,000000000101196944,2023-02-23,38,523,199.9900,329.99,0.390628,0.3939513318585411680,0.2121276402315221674,18
AYAKKABI,COCUK,NULL,AYAKKABI,BASIC SNEAKER,000000000101196946,2022-11-10,8,428,259.9900,329.99,0.229226,0.2070527170125049903,0.0000000000000000000,0
AYAKKABI,COCUK,NULL,AYAKKABI,BASIC SNEAKER,000000000101196946,2023-02-23,22,322,199.9900,329.99,0.392125,0.3939513318585411680,0.2121276402315221674,16
AYAKKABI,COCUK,NULL,BOT,SNEAKER HI,000000000101197018,2022-11-24,50,688,199.9900,339.99,0.402349,0.4079880226656282730,0.2303753818846334356,21
AYAKKABI,COCUK,NULL,BOT,SNEAKER HI,000000000101197018,2023-02-23,7,346,149.9900,339.99,0.563835,0.5588399658813494515,0.4117768169652048590,14
AYAKKABI,COCUK,NULL,BOT,SNEAKER HI,000000000101197019,2022-11-24,30,923,199.9900,339.99,0.400665,0.4079880226656282730,0.2303753818846334356,17
AYAKKABI,COCUK,NULL,BOT,SNEAKER HI,000000000101197019,2023-02-23,9,551,149.9900,339.99,0.555614,0.5588399658813494515,0.4117768169652048590,8
AYAKKABI,COCUK,NULL,AYAKKABI,BASIC SNEAKER,000000000101197021,2023-02-23,29,785,179.9900,329.99,0.442421,0.4545592290675475015,0.3333434346495348344,24
AYAKKABI,COCUK,NULL,AYAKKABI,BASIC SNEAKER,000000000101197022,2023-02-23,54,769,199.9900,329.99,0.390628,0.3939513318585411680,0.2424315888360253342,25
AYAKKABI,COCUK,NULL,BOT,SNEAKER HI,000000000101197027,2022-12-01,39,684,239.9900,359.99,0.339137,0.3290483914408250471,0.2172185942363133276,44
AYAKKABI,COCUK,NULL,BOT,SNEAKER HI,000000000101197027,2022-12-15,36,624,199.9900,359.99,0.432100,0.4444567904664018445,0.3290483914408250471,24
AYAKKABI,KADIN,DRESS,BOT,OKCELI BOT,000000000101194383,2023-01-26,10,98,999.9900,1249.99,0.181907,0.2000016000128001025,0.0000000000000000000,0
AYAKKABI,COCUK,NULL,AYAKKABI,BASIC SNEAKER,000000000101191764,2022-12-22,24,577,99.9900,129.99,0.241163,0.2258325891289296502,0.0000000000000000000,35
AYAKKABI,COCUK,NULL,AYAKKABI,BASIC SNEAKER,000000000101191764,2023-03-23,22,357,79.9900,129.99,0.385025,0.3846449726902069390,0.2258325891289296502,27
AYAKKABI,COCUK,NULL,AYAKKABI,ATHLETIC,000000000101191778,2022-11-10,16,669,289.9900,349.99,0.210188,0.1660963605171327877,0.0000000000000000000,39
AYAKKABI,COCUK,NULL,AYAKKABI,ATHLETIC,000000000101191778,2023-02-23,76,402,199.9900,349.99,0.424592,0.4285836738192519787,0.1714334695277007915,19
AYAKKABI,COCUK,NULL,AYAKKABI,ATHLETIC,000000000101191779,2022-11-10,9,499,289.9900,349.99,0.145594,0.1660963605171327877,0.0000000000000000000,15
AYAKKABI,COCUK,NULL,AYAKKABI,ATHLETIC,000000000101191779,2023-02-23,51,296,199.9900,349.99,0.425450,0.4285836738192519787,0.1714334695277007915,13
AYAKKABI,COCUK,NULL,BOT,OUTDOOR HI,000000000101191787,2023-01-05,181,1921,179.9900,249.99,0.292814,0.2800112004480179208,0.0000000000000000000,124
