H1,H2,H3,H4,H5,ItemCode,WeekStartDate,ActualPrice,FirstPrice,Sales,SalesRevenue,SalesRevenueonPrice,ExpectedSalesRevenue,DiscountRate,DiscountRateOnPrice,StoreStock,StoreIncomingStock,DistinctStoreCount,PrevDiscountRate
AYAKKABI,AKTIFSPOR,OUTDOOR,BOT,OUTDOOR HI,000000000101037782,2023-01-05,399.9900,549.99,23,8414.0000,9199.7700,12649.77,0.277011,0.2680477589711117278,609,55,94,0.1399529398558234656
AYAKKABI,AKTIFSPOR,OUTDOOR,BOT,OUTDOOR HI,000000000101037782,2023-01-26,329.9900,549.99,31,8936.0000,10229.6900,17049.69,0.430310,0.3961425780863999899,587,6,89,0.2680477589711117278
AYAKKABI,AKTIFSPOR,OUTDOOR,BOT,OUTDOOR HI,000000000101037784,2022-12-01,439.9900,549.99,34,13385.0000,14959.6600,18699.66,0.221970,0.1948507759429618088,616,46,92,0.0000000000000000000
AYAKKABI,AKTIFSPOR,OUTDOOR,BOT,OUTDOOR HI,000000000101037784,2023-01-05,369.9900,549.99,27,9050.0000,9989.7300,14849.73,0.337567,0.3229455950582500710,484,61,92,0.1948507759429618088
AYAKKABI,AKTIFSPOR,OUTDOOR,BOT,OUTDOOR HI,000000000101037784,2023-02-02,299.9900,549.99,41,11378.0000,12299.5900,22549.59,0.451547,0.4545537191585301551,433,20,90,0.3229455950582500710
AYAKKABI,AKTIFSPOR,OUTDOOR,AYAKKABI,OUTDOOR,000000000101037788,2022-12-08,419.9900,499.99,24,7940.0000,10079.7600,11999.76,0.280783,0.1545926570705327151,482,37,55,0.0000000000000000000
AYAKKABI,AKTIFSPOR,OUTDOOR,AYAKKABI,OUTDOOR,000000000101037788,2022-12-22,419.9900,499.99,16,5133.0000,6719.8400,7999.84,0.302568,0.1545926570705327151,454,8,59,0.0000000000000000000
AYAKKABI,AKTIFSPOR,OUTDOOR,AYAKKABI,OUTDOOR,000000000101037788,2023-01-05,369.9900,499.99,20,5909.0000,7399.8000,9999.80,0.357705,0.2552388004281824767,421,28,60,0.1545926570705327151
AYAKKABI,AKTIFSPOR,OUTDOOR,AYAKKABI,OUTDOOR,000000000101037788,2023-01-26,299.9900,499.99,38,10151.0000,11399.6200,18999.62,0.419268,0.3961433576497616909,374,1,58,0.2552388004281824767
AYAKKABI,AKTIFSPOR,ATHLETIC,AYAKKABI,KOSU,000000000101037828,2022-12-08,299.9900,389.99,9,2271.0000,2699.9100,3509.91,0.296712,0.2307751480807200185,149,1,46,0.0967862052204237121
AYAKKABI,AKTIFSPOR,ATHLETIC,AYAKKABI,KOSU,000000000101037830,2022-11-24,319.9900,389.99,15,4263.0000,4799.8500,5849.85,0.207895,0.1742068079783539601,465,8,107,0.0000000000000000000
AYAKKABI,AKTIFSPOR,ATHLETIC,AYAKKABI,KOSU,000000000101037830,2023-01-05,269.9900,389.99,13,2790.0000,3509.8700,5069.87,0.401837,0.3077001974409600247,361,1,100,0.1742068079783539601
AYAKKABI,AKTIFSPOR,OUTDOOR,BOT,OUTDOOR HI,000000000101037902,2022-12-15,409.9900,489.99,5,1900.0000,2049.9500,2449.95,0.157037,0.1578789984178914033,233,0,43,0.0000000000000000000
AYAKKABI,AKTIFSPOR,OUTDOOR,BOT,OUTDOOR HI,000000000101037902,2023-01-05,329.9900,489.99,2,464.0000,659.9800,979.98,0.485349,0.3221993439085269709,219,39,65,0.1578789984178914033
AYAKKABI,AKTIFSPOR,OUTDOOR,BOT,OUTDOOR HI,000000000101037902,2023-01-26,279.9900,489.99,8,1834.0000,2239.9200,3919.92,0.491450,0.4285801751056144003,226,2,66,0.3221993439085269709
AYAKKABI,AKTIFSPOR,OUTDOOR,AYAKKABI,OUTDOOR,000000000101037906,2022-12-08,359.9900,439.99,20,6127.0000,7199.8000,8799.80,0.243190,0.1765521844864063117,432,27,67,0.0000000000000000000
AYAKKABI,AKTIFSPOR,LEISURE,AYAKKABI,SNEAKER,000000000100248496,2022-12-08,399.9900,499.99,1,296.0000,399.9900,499.99,0.356509,0.2000040000800016001,8,0,8,0.0000000000000000000
AYAKKABI,AKTIFSPOR,LEISURE,AYAKKABI,SNEAKER,000000000100372001,2022-11-10,269.9900,329.99,4,939.0000,1079.9600,1319.96,0.226756,0.1818236916270190006,177,0,65,0.0000000000000000000
AYAKKABI,AKTIFSPOR,ATHLETIC,AYAKKABI,SPORT COMFORT,000000000100373697,2022-11-10,299.9900,349.99,2,510.0000,599.9800,699.98,0.208052,0.1373402594111384549,73,0,34,0.0000000000000000000
AYAKKABI,AKTIFSPOR,ATHLETIC,AYAKKABI,SPORT COMFORT,000000000100373697,2022-12-08,259.9900,349.99,3,555.0000,779.9700,1049.97,0.425450,0.2571502042915511872,63,0,32,0.1373402594111384549
AYAKKABI,AKTIFSPOR,ATHLETIC,AYAKKABI,KOSU,000000000100377759,2022-12-08,219.9900,269.99,1,154.0000,219.9900,269.99,0.380010,0.1851920441497833254,3,0,3,0.0000000000000000000
AYAKKABI,COCUK,NULL,AYAKKABI,ATHLETIC,000000000100379720,2022-11-17,219.9900,259.99,1,204.0000,219.9900,259.99,0.147125,0.1484020288405741358,25,0,19,0.0000000000000000000
AYAKKABI,AKTIFSPOR,LEISURE,AYAKKABI,SNEAKER,000000000100330481,2022-11-10,349.9900,399.99,1,324.0000,349.9900,399.99,0.119544,0.1193671146126479249,31,0,21,0.0000000000000000000
AYAKKABI,ERKEK,CASUAL,BOT,BIKER BOT,000000000100330538,2023-02-02,399.9900,549.99,2,740.0000,799.9800,1099.98,0.268762,0.2727322314951180931,7,0,5,0.0000000000000000000
AYAKKABI,AKTIFSPOR,LEISURE,AYAKKABI,SNEAKER,000000000100357920,2022-11-10,289.9900,329.99,1,269.0000,289.9900,329.99,0.113939,0.1212157944180126671,3,0,3,0.0000000000000000000
AYAKKABI,AKTIFSPOR,OUTDOOR,AYAKKABI,OUTDOOR,000000000100429819,2023-01-26,349.9900,439.99,6,1830.0000,2099.9400,2639.94,0.246525,0.1994264691786473408,70,6,40,0.0000000000000000000
AYAKKABI,ERKEK,CASUAL,AYAKKABI,OUTDOOR,000000000100432082,2022-12-08,419.9900,579.99,1,316.0000,419.9900,579.99,0.407786,0.2758668252900912085,12,0,10,0.0976752222864412206
AYAKKABI,AKTIFCOCUK,OUTDOOR,BOT,OUTDOOR HI,000000000100432250,2023-02-02,349.9900,649.99,2,368.0000,699.9800,1299.98,0.692303,0.4615455622394190680,7,0,5,0.2258180226184081762
AYAKKABI,COCUK,NULL,CIZME,BASIC GUNLUK CIZME,000000000100427258,2023-02-02,349.9900,449.99,16,2952.0000,5599.8400,7199.84,0.554338,0.2222271606035689682,94,0,42,0.0000000000000000000
AYAKKABI,ERKEK,CASUAL,BOT,OUTDOOR HI,000000000100427819,2023-01-05,479.9900,579.99,2,888.0000,959.9800,1159.98,0.167902,0.1670860891904433135,21,1,15,0.0000000000000000000
AYAKKABI,AKTIFSPOR,ATHLETIC,AYAKKABI,SPORT COMFORT,000000000101032585,2022-11-10,439.9900,499.99,14,5631.0000,6159.8600,6999.86,0.125604,0.1143342432066032626,411,1,133,0.0000000000000000000
AYAKKABI,AKTIFSPOR,ATHLETIC,AYAKKABI,SPORT COMFORT,000000000101032585,2022-12-08,379.9900,499.99,15,4847.0000,5699.8500,7499.85,0.297523,0.2400048000960019201,402,8,131,0.1143342432066032626
AYAKKABI,AKTIFSPOR,LEISURE,AYAKKABI,SNEAKER,000000000101032589,2022-11-10,479.9900,599.99,3,888.0000,1439.9700,1799.97,0.463760,0.1948503489550912806,66,1,38,0.0000000000000000000
AYAKKABI,AKTIFSPOR,LEISURE,AYAKKABI,SNEAKER,000000000101032589,2023-01-05,399.9900,599.99,7,2007.0000,2799.9300,4199.93,0.480582,0.3333388889814830248,44,0,27,0.1948503489550912806
AYAKKABI,AKTIFCOCUK,LEISURE,AYAKKABI,SNEAKER,000000000101032717,2022-11-10,259.9900,329.99,7,1602.0000,1819.9300,2309.93,0.246166,0.2070527170125049903,389,1,122,0.0000000000000000000
AYAKKABI,AKTIFCOCUK,LEISURE,AYAKKABI,SNEAKER,000000000101032718,2022-11-17,259.9900,329.99,1,228.0000,259.9900,329.99,0.248990,0.2070527170125049903,121,0,50,0.0000000000000000000
AYAKKABI,AKTIFSPOR,ATHLETIC,AYAKKABI,KOSU,000000000100416537,2022-12-08,519.9900,649.99,1,361.0000,519.9900,649.99,0.396312,0.2000030769704149295,13,0,12,0.0000000000000000000
